Package,LibPath,Version,Priority,Built
mime,C:/Users/jhiggins/Documents/R/win-library/3.4,0.5,NA,3.4.1
minqa,C:/Users/jhiggins/Documents/R/win-library/3.4,1.2.4,NA,3.4.1
mnormt,C:/Users/jhiggins/Documents/R/win-library/3.4,1.5-5,NA,3.4.1
modelr,C:/Users/jhiggins/Documents/R/win-library/3.4,0.1.1,NA,3.4.3
modeltools,C:/Users/jhiggins/Documents/R/win-library/3.4,0.2-21,NA,3.4.1
multcomp,C:/Users/jhiggins/Documents/R/win-library/3.4,1.4-6,NA,3.4.1
munsell,C:/Users/jhiggins/Documents/R/win-library/3.4,0.4.3,NA,3.4.3
mvtnorm,C:/Users/jhiggins/Documents/R/win-library/3.4,1.0-6,NA,3.4.1
nloptr,C:/Users/jhiggins/Documents/R/win-library/3.4,1.0.4,NA,3.4.1
officer,C:/Users/jhiggins/Documents/R/win-library/3.4,0.2.0,NA,3.4.3
openssl,C:/Users/jhiggins/Documents/R/win-library/3.4,0.9.9,NA,3.4.3
packrat,C:/Users/jhiggins/Documents/R/win-library/3.4,0.4.8-1,NA,3.4.0
pbkrtest,C:/Users/jhiggins/Documents/R/win-library/3.4,0.4-7,NA,3.4.1
pkgconfig,C:/Users/jhiggins/Documents/R/win-library/3.4,2.0.1,NA,3.4.3
plogr,C:/Users/jhiggins/Documents/R/win-library/3.4,0.1-1,NA,3.4.3
plyr,C:/Users/jhiggins/Documents/R/win-library/3.4,1.8.4,NA,3.4.3
png,C:/Users/jhiggins/Documents/R/win-library/3.4,0.1-7,NA,3.4.1
psych,C:/Users/jhiggins/Documents/R/win-library/3.4,1.7.8,NA,3.4.3
purrr,C:/Users/jhiggins/Documents/R/win-library/3.4,0.2.4,NA,3.4.3
quantreg,C:/Users/jhiggins/Documents/R/win-library/3.4,5.33,NA,3.4.1
R.methodsS3,C:/Users/jhiggins/Documents/R/win-library/3.4,1.7.1,NA,3.4.1
R.oo,C:/Users/jhiggins/Documents/R/win-library/3.4,1.21.0,NA,3.4.1
R.utils,C:/Users/jhiggins/Documents/R/win-library/3.4,2.6.0,NA,3.4.3
R2wd,C:/Users/jhiggins/Documents/R/win-library/3.4,1.5,NA,3.4.1
R6,C:/Users/jhiggins/Documents/R/win-library/3.4,2.2.2,NA,3.4.3
rappdirs,C:/Users/jhiggins/Documents/R/win-library/3.4,0.3.1,NA,3.4.3
RColorBrewer,C:/Users/jhiggins/Documents/R/win-library/3.4,1.1-2,NA,3.4.1
Rcpp,C:/Users/jhiggins/Documents/R/win-library/3.4,0.12.14,NA,3.4.3
RcppEigen,C:/Users/jhiggins/Documents/R/win-library/3.4,0.3.3.3.0,NA,3.4.1
readr,C:/Users/jhiggins/Documents/R/win-library/3.4,1.1.1,NA,3.4.3
readxl,C:/Users/jhiggins/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
rematch,C:/Users/jhiggins/Documents/R/win-library/3.4,1.0.1,NA,3.4.3
rematch2,C:/Users/jhiggins/Documents/R/win-library/3.4,2.0.1,NA,3.4.3
ReporteRs,C:/Users/jhiggins/Documents/R/win-library/3.4,0.8.8,NA,3.4.3
ReporteRsjars,C:/Users/jhiggins/Documents/R/win-library/3.4,0.0.2,NA,3.4.2
reprex,C:/Users/jhiggins/Documents/R/win-library/3.4,0.1.1,NA,3.4.3
reshape2,C:/Users/jhiggins/Documents/R/win-library/3.4,1.4.2,NA,3.4.3
rJava,C:/Users/jhiggins/Documents/R/win-library/3.4,0.9-9,NA,3.4.2
rlang,C:/Users/jhiggins/Documents/R/win-library/3.4,0.1.4,NA,3.4.3
rmarkdown,C:/Users/jhiggins/Documents/R/win-library/3.4,1.8,NA,3.4.2
rprojroot,C:/Users/jhiggins/Documents/R/win-library/3.4,1.3-2,NA,3.4.3
rstudioapi,C:/Users/jhiggins/Documents/R/win-library/3.4,0.7,NA,3.4.3
rvest,C:/Users/jhiggins/Documents/R/win-library/3.4,0.3.2,NA,3.4.3
rvg,C:/Users/jhiggins/Documents/R/win-library/3.4,0.1.7,NA,3.4.3
sandwich,C:/Users/jhiggins/Documents/R/win-library/3.4,2.4-0,NA,3.4.1
SASxport,C:/Users/jhiggins/Documents/R/win-library/3.4,1.5.3,NA,3.4.1
scales,C:/Users/jhiggins/Documents/R/win-library/3.4,0.5.0,NA,3.4.3
selectr,C:/Users/jhiggins/Documents/R/win-library/3.4,0.3-1,NA,3.4.3
shiny,C:/Users/jhiggins/Documents/R/win-library/3.4,1.0.5,NA,3.4.3
sourcetools,C:/Users/jhiggins/Documents/R/win-library/3.4,0.1.6,NA,3.4.3
SparseM,C:/Users/jhiggins/Documents/R/win-library/3.4,1.77,NA,3.4.1
stringi,C:/Users/jhiggins/Documents/R/win-library/3.4,1.1.6,NA,3.4.2
stringr,C:/Users/jhiggins/Documents/R/win-library/3.4,1.2.0,NA,3.4.2
styler,C:/Users/jhiggins/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
TH.data,C:/Users/jhiggins/Documents/R/win-library/3.4,1.0-8,NA,3.4.1
tibble,C:/Users/jhiggins/Documents/R/win-library/3.4,1.3.4,NA,3.4.3
tidyr,C:/Users/jhiggins/Documents/R/win-library/3.4,0.7.2,NA,3.4.3
tidyselect,C:/Users/jhiggins/Documents/R/win-library/3.4,0.2.3,NA,3.4.3
tidyverse,C:/Users/jhiggins/Documents/R/win-library/3.4,1.2.1,NA,3.4.3
usethis,C:/Users/jhiggins/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
uuid,C:/Users/jhiggins/Documents/R/win-library/3.4,0.1-2,NA,3.4.1
viridis,C:/Users/jhiggins/Documents/R/win-library/3.4,0.4.0,NA,3.4.3
viridisLite,C:/Users/jhiggins/Documents/R/win-library/3.4,0.2.0,NA,3.4.3
whisker,C:/Users/jhiggins/Documents/R/win-library/3.4,0.3-2,NA,3.4.3
withr,C:/Users/jhiggins/Documents/R/win-library/3.4,2.1.1,NA,3.4.3
WordR,C:/Users/jhiggins/Documents/R/win-library/3.4,0.2.2,NA,3.4.3
xlsx,C:/Users/jhiggins/Documents/R/win-library/3.4,0.5.7,NA,3.4.2
xlsxjars,C:/Users/jhiggins/Documents/R/win-library/3.4,0.6.1,NA,3.4.2
xml2,C:/Users/jhiggins/Documents/R/win-library/3.4,1.1.1,NA,3.4.3
xtable,C:/Users/jhiggins/Documents/R/win-library/3.4,1.8-2,NA,3.4.3
yaml,C:/Users/jhiggins/Documents/R/win-library/3.4,2.1.15,NA,3.4.3
zip,C:/Users/jhiggins/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
zoo,C:/Users/jhiggins/Documents/R/win-library/3.4,1.8-0,NA,3.4.3
base,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
boot,C:/Program Files/R/R-3.4.3/library,1.3-20,recommended,3.4.3
class,C:/Program Files/R/R-3.4.3/library,7.3-14,recommended,3.4.3
cluster,C:/Program Files/R/R-3.4.3/library,2.0.6,recommended,3.4.3
codetools,C:/Program Files/R/R-3.4.3/library,0.2-15,recommended,3.4.3
compiler,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
datasets,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
foreign,C:/Program Files/R/R-3.4.3/library,0.8-69,recommended,3.4.3
graphics,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
grDevices,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
grid,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
KernSmooth,C:/Program Files/R/R-3.4.3/library,2.23-15,recommended,3.4.3
lattice,C:/Program Files/R/R-3.4.3/library,0.20-35,recommended,3.4.3
MASS,C:/Program Files/R/R-3.4.3/library,7.3-47,recommended,3.4.3
Matrix,C:/Program Files/R/R-3.4.3/library,1.2-12,recommended,3.4.3
methods,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
mgcv,C:/Program Files/R/R-3.4.3/library,1.8-22,recommended,3.4.3
nlme,C:/Program Files/R/R-3.4.3/library,3.1-131,recommended,3.4.3
nnet,C:/Program Files/R/R-3.4.3/library,7.3-12,recommended,3.4.3
parallel,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
rpart,C:/Program Files/R/R-3.4.3/library,4.1-11,recommended,3.4.3
spatial,C:/Program Files/R/R-3.4.3/library,7.3-11,recommended,3.4.3
splines,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
stats,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
stats4,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
survival,C:/Program Files/R/R-3.4.3/library,2.41-3,recommended,3.4.3
tcltk,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
tools,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
translations,C:/Program Files/R/R-3.4.3/library,3.4.3,NA,3.4.3
utils,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
